;seguradora;date;total_venda;total_receita;valor_recebido;status
256;78;2020-05-01;50,0;0,0;-50,0;Inadimplente
257;78;2020-06-01;50,0;0,0;-50,0;Inadimplente
258;79;2019-10-01;277,26;0,0;-277,26;Inadimplente
259;79;2019-11-01;350,665;0,0;-350,665;Inadimplente
260;79;2020-06-01;540,3149999999999;-30,7;-571,015;Inadimplente
261;81;2019-01-01;2990,14;0,0;-2990,14;Inadimplente
262;81;2019-02-01;262,795;0,0;-262,795;Inadimplente
263;81;2019-03-01;1222,5;2105,335;882,835;Não inadimplente
264;81;2019-04-01;82,06;0,0;-82,06;Inadimplente
265;81;2019-06-01;115,085;115,085;0,0;Inadimplente
266;81;2019-07-01;852,8;0,0;-852,8;Inadimplente
267;83;2019-02-01;81,07;0,0;-81,07;Inadimplente
268;83;2019-03-01;188,435;57,77;-130,665;Inadimplente
269;83;2019-04-01;205,325;57,77;-147,55499999999998;Inadimplente
270;83;2019-05-01;-60,0;60,385;120,38499999999999;Não inadimplente
271;83;2019-06-01;2300,23;118,155;-2182,075;Inadimplente
272;83;2019-07-01;307,2;688,155;380,955;Não inadimplente
273;83;2019-12-01;147,715;0,0;-147,715;Inadimplente
274;83;2020-04-01;27,845;45,57;17,725;Não inadimplente
