;ano;mes;seguradora;vendedor;tot_apolices;venda;date;total_venda
347;2019;6;31;38;1;675,28;2019-06-01;675,28
348;2019;6;66;14;6;387,41;2019-06-01;2324,46
349;2019;6;77;20;1;11859,25;2019-06-01;11859,25
350;2019;6;72;9;1;273,09;2019-06-01;273,09
351;2019;6;66;1;1;117,52;2019-06-01;117,52
352;2019;6;72;20;6;5941,915;2019-06-01;35651,49
353;2019;6;44;42;6;103,835;2019-06-01;623,01
354;2019;6;44;56;4;2419,08;2019-06-01;9676,32
355;2019;6;66;6;1;1179,5;2019-06-01;1179,5
356;2019;6;31;56;1;263,36;2019-06-01;263,36
357;2019;6;31;54;2;2437,6;2019-06-01;4875,2
358;2019;6;44;38;9;224,11;2019-06-01;2016,9900000000002
359;2019;6;72;1;4;114,585;2019-06-01;458,34
360;2019;6;72;12;11;405,23;2019-06-01;4457,530000000001
361;2019;6;74;2;1;58,35;2019-06-01;58,35
362;2019;6;66;16;7;972,645;2019-06-01;6808,514999999999
363;2019;6;66;55;2;104,72;2019-06-01;209,44
364;2019;6;64;57;1;58,6;2019-06-01;58,6
365;2019;6;72;59;2;950,14;2019-06-01;1900,28
366;2019;6;72;42;2;109,81;2019-06-01;219,62
367;2019;6;31;39;1;136,89;2019-06-01;136,89
368;2019;6;66;20;6;725,075;2019-06-01;4350,450000000001
369;2019;6;66;17;1;243,01;2019-06-01;243,01
370;2019;6;66;46;1;77,945;2019-06-01;77,945
371;2019;6;31;9;2;54,65;2019-06-01;109,3
372;2019;6;44;14;5;176,48;2019-06-01;882,4
373;2019;6;66;2;1;75,005;2019-06-01;75,005
374;2019;7;72;41;4;3170,59;2019-07-01;12682,36
375;2019;7;72;38;8;1276,355;2019-07-01;10210,84
376;2019;7;66;1;6;335,13;2019-07-01;2010,78
377;2019;7;66;57;2;110,21;2019-07-01;220,42
378;2019;7;66;19;30;2209,465;2019-07-01;66283,95000000001
379;2019;7;72;58;1;533,575;2019-07-01;533,575
380;2019;7;72;18;3;-720,72;2019-07-01;-2162,16
381;2019;7;62;27;3;77,315;2019-07-01;231,945
382;2019;7;81;47;4;213,2;2019-07-01;852,8
383;2019;7;72;9;4;1250,225;2019-07-01;5000,9
384;2019;7;66;54;2;518,24;2019-07-01;1036,48
385;2019;7;66;42;3;789,765;2019-07-01;2369,295
386;2019;7;44;55;1;114,62;2019-07-01;114,62
387;2019;7;31;38;1;68,75;2019-07-01;68,75
388;2019;7;72;42;5;1189,215;2019-07-01;5946,075
389;2019;7;44;39;1;61,875;2019-07-01;61,875
390;2019;7;66;43;6;700,315;2019-07-01;4201,89
391;2019;7;66;20;10;411,89;2019-07-01;4118,9
392;2019;7;72;12;11;-794,16;2019-07-01;-8735,76
