ano,mes,seguradora,vendedor,tot_apolices,receita
2019,7,72,14,15,"5740,98"
2019,7,72,12,12,"231,945"
2019,7,72,9,1,"62,75"
2019,7,72,2,3,"377,235"
2019,7,72,1,2,"252,37"
2019,7,66,59,1,"71,42"
2019,7,66,58,2,"86,535"
2019,7,66,57,5,"341,745"
2019,7,66,56,11,"544,595"
2019,7,66,55,5,"165,325"
2019,7,66,54,2,"499,5"
2019,7,66,52,1,"123,65"
2019,7,66,43,1,"94,145"
2019,7,66,42,3,"617,605"
2019,7,66,39,1,"153,21"
2019,7,66,38,5,"989,715"
2019,7,66,35,12,"233,08"
2019,7,66,20,6,"963,985"
2019,7,66,19,6,"262,655"
2019,7,66,17,3,"449,58"
2019,7,66,16,17,"1452,33"
2019,7,66,14,4,"533,73"
2019,7,66,6,1,"13704,52"
2019,7,66,1,3,"129,71"
2019,7,31,56,1,"981,415"
2019,7,31,54,2,"2892,38"
2019,7,31,47,1,"828,81"
2019,7,31,39,1,"136,89"
2019,7,31,35,2,"-901,49"
2019,7,31,16,3,"1719,895"
2019,7,31,9,3,"162,5"
2019,7,64,57,2,"185,355"
2019,7,64,26,3,"1717,98"
2019,7,64,16,3,"535,085"
2019,7,83,54,1,"612,55"
2019,7,83,42,2,"72,035"
2019,7,83,16,1,"-68,465"
2019,7,74,2,1,"58,35"
2019,7,44,56,2,"97,5"
2019,7,44,54,3,"416,93"
2019,7,44,47,1,100
2019,7,44,43,1,"155,43"
2019,7,44,42,8,"377,44"
2019,7,44,39,1,"61,875"
2019,7,44,38,15,"456,79"
2019,7,44,17,1,"72,5"
2019,7,44,16,8,"372,3"
2019,7,44,14,7,"240,425"
2019,7,44,13,1,150
2019,7,44,12,5,"342,94"
2019,7,44,9,3,"314,71"
2019,7,55,57,1,"2506,585"
2019,7,55,20,1,"174,565"
2019,7,23,9,1,"300,76"
2019,7,13,57,1,"110,3"
2019,7,13,16,1,"250,51"
2019,7,21,20,2,"258,145"
2019,7,42,58,1,"219,05"
2019,7,19,54,1,"388,785"
2019,8,19,54,1,"388,785"
2019,8,19,13,1,"335,625"
2019,8,21,16,1,"159,54"
2019,8,6,12,1,"-137,08"
2019,8,23,16,1,"2201,69"
2019,8,43,17,1,"130,93"
2019,8,54,42,1,"1031,16"
2019,8,75,22,1,"87,5"
2019,8,62,22,1,"318,28"
2019,8,55,20,1,"1229,275"
2019,8,55,19,1,"8396,83"
2019,8,44,42,6,"308,765"
2019,8,44,38,5,"275,635"
2019,8,44,35,1,"61,875"
2019,8,44,16,8,"237,575"
2019,8,44,14,5,"168,75"
2019,8,44,12,4,"162,77"
2019,8,44,9,2,"97,5"
2019,8,44,2,1,69
2019,8,44,1,1,"130,78"
2019,8,74,20,2,"1627,375"
2019,8,77,20,1,"2329,63"
2019,8,81,47,3,"172,4"
2019,8,83,54,1,"612,56"
2019,8,83,42,1,"89,955"
2019,8,64,57,1,"604,7"
2019,8,64,26,1,"1334,875"
2019,8,64,16,1,"97,115"
2019,8,31,57,5,"2434,175"
2019,8,31,39,1,"68,75"
2019,8,31,38,3,"1129,04"
