;ano;mes;seguradora;vendedor;tot_apolices;receita;tot_receita;month_name
513;2019;9;62;22;1;2231,67;2231,67;September
514;2019;9;54;42;1;1031,16;1031,16;September
515;2019;9;23;16;1;2201,695;2201,695;September
516;2019;9;6;17;1;73,085;73,085;September
517;2019;9;21;57;1;3740,865;3740,865;September
518;2019;9;21;56;1;140,0;140,0;September
519;2019;9;21;20;1;404,565;404,565;September
520;2019;9;21;16;3;1493,14;4479,42;September
521;2019;9;19;13;1;337,045;337,045;September
522;2019;10;35;20;1;67,88;67,88;October
523;2019;10;21;20;1;76,75;76,75;October
524;2019;10;21;16;1;50,0;50,0;October
525;2019;10;13;16;1;86,775;86,775;October
526;2019;10;54;42;1;1031,16;1031,16;October
527;2019;10;56;17;1;279,66;279,66;October
528;2019;10;55;20;2;4914,39;9828,78;October
529;2019;10;44;54;1;1234,12;1234,12;October
530;2019;10;44;42;3;113,85;341,54999999999995;October
531;2019;10;44;38;5;239,915;1199,575;October
532;2019;10;44;20;1;72,895;72,895;October
533;2019;10;44;16;12;3748,0;44976,0;October
534;2019;10;44;12;8;1134,19;9073,52;October
535;2019;10;44;9;6;231,51;1389,06;October
536;2019;10;83;54;1;612,56;612,56;October
537;2019;10;83;42;2;81,625;163,25;October
538;2019;10;64;57;1;327,35;327,35;October
539;2019;10;64;26;1;494,605;494,605;October
540;2019;10;64;22;1;67,63;67,63;October
541;2019;10;64;16;1;250,6;250,6;October
542;2019;10;31;42;1;110,26;110,26;October
543;2019;10;31;39;1;87,5;87,5;October
544;2019;10;31;38;1;75,0;75,0;October
545;2019;10;31;35;1;-1020,81;-1020,81;October
546;2019;10;31;16;3;2103,195;6309,585000000001;October
547;2019;10;31;14;1;140,465;140,465;October
548;2019;10;31;12;1;384,58;384,58;October
549;2019;10;66;58;1;236,75;236,75;October
550;2019;10;66;57;6;1861,2;11167,2;October
551;2019;10;66;56;2;238,075;476,15;October
552;2019;10;66;44;1;133,69;133,69;October
553;2019;10;66;43;1;62,31;62,31;October
554;2019;10;66;42;3;265,695;797,085;October
555;2019;10;66;39;2;98,595;197,19;October
556;2019;10;66;38;13;2429,15;31578,95;October
557;2019;10;66;20;6;460,19;2761,14;October
558;2019;10;66;19;4;244,895;979,58;October
559;2019;10;66;17;5;4314,595;21572,975000000002;October
560;2019;10;66;16;19;1080,66;20532,54;October
561;2019;10;66;14;2;227,44;454,88;October
562;2019;10;66;9;2;201,735;403,47;October
563;2019;10;72;59;1;284,205;284,205;October
564;2019;10;72;57;10;1791,745;17917,449999999997;October
565;2019;10;72;56;2;-175,285;-350,57;October
566;2019;10;72;55;2;77,76;155,52;October
567;2019;10;72;54;2;373,02;746,04;October
568;2019;10;72;44;3;1280,625;3841,875;October
569;2019;10;72;42;1;148,67;148,67;October
570;2019;10;72;41;1;237,14;237,14;October
571;2019;10;72;39;1;621,07;621,07;October
572;2019;10;72;38;11;1990,925;21900,175;October
573;2019;10;72;35;11;-447,08;-4917,88;October
574;2019;10;72;20;2;430,4;860,8;October
575;2019;10;72;16;24;7652,315;183655,56;October
576;2019;10;72;14;4;1464,57;5858,28;October
