;ano;mes;seguradora;vendedor;tot_apolices;venda;tot_venda;month_name
218;2019;4;72;41;2;705,23;1410,46;April
219;2019;4;66;43;1;89,19;89,19;April
220;2019;4;72;55;1;394,545;394,545;April
221;2019;4;83;42;1;205,325;205,325;April
222;2019;4;81;54;1;82,06;82,06;April
223;2019;4;72;16;8;1951,42;15611,36;April
224;2019;4;72;17;4;761,825;3047,3;April
225;2019;4;44;14;3;1610,095;4830,285;April
226;2019;4;64;16;3;152,18;456,54;April
227;2019;4;72;9;1;62,75;62,75;April
228;2019;4;72;52;1;234,125;234,125;April
229;2019;4;44;17;2;56,75;113,5;April
230;2019;4;23;56;1;375,0;375,0;April
231;2019;4;72;38;13;3460,915;44991,895;April
232;2019;4;31;26;1;-4622,065;-4622,065;April
233;2019;4;66;57;3;171,855;515,5649999999999;April
234;2019;4;66;19;12;1226,945;14723,34;April
235;2019;4;66;1;1;159,06;159,06;April
236;2019;4;21;20;3;786,48;2359,44;April
237;2019;4;72;58;1;279,685;279,685;April
238;2019;4;33;14;1;163,755;163,755;April
239;2019;5;72;20;2;736,335;1472,67;May
240;2019;5;31;47;2;682,84;1365,68;May
241;2019;5;44;39;3;79,72;239,16;May
242;2019;5;83;16;1;-60,0;-60,0;May
243;2019;5;44;12;4;142,0;568,0;May
244;2019;5;72;17;5;2172,29;10861,45;May
245;2019;5;78;25;1;50,0;50,0;May
246;2019;5;72;47;3;695,26;2085,7799999999997;May
247;2019;5;13;16;1;73,375;73,375;May
248;2019;5;66;38;2;205,43;410,86;May
249;2019;5;66;58;2;364,305;728,61;May
250;2019;5;72;55;5;3001,26;15006,300000000001;May
251;2019;5;66;35;4;170,6;682,4;May
252;2019;5;44;35;1;64,945;64,945;May
253;2019;5;72;16;14;3645,795;51041,130000000005;May
254;2019;5;31;16;4;43637,7;174550,8;May
255;2019;5;55;35;1;50,0;50,0;May
256;2019;5;44;9;8;386,255;3090,04;May
257;2019;5;44;38;11;325,3;3578,3;May
258;2019;5;66;16;2;112,8;225,6;May
259;2019;5;72;14;11;3916,295;43079,245;May
260;2019;5;13;57;1;53,95;53,95;May
261;2019;5;44;56;2;720,07;1440,14;May
262;2019;5;66;52;2;284,565;569,13;May
263;2019;5;66;17;1;51,785;51,785;May
264;2019;5;72;54;4;3369,175;13476,7;May
265;2019;5;55;57;2;4998,715;9997,43;May
266;2019;5;44;16;7;784,855;5493,985000000001;May
267;2019;5;66;56;7;419,79;2938,53;May
268;2019;5;66;42;3;210,96;632,88;May
269;2019;5;31;42;2;304,565;609,13;May
270;2019;5;72;56;7;8104,81;56733,670000000006;May
271;2019;5;31;56;1;597,5;597,5;May
